ACCE_ABSORB_COST	Κόστος συνδυασμού: %d
ELEMENT_BUFF_DARK_TOOLTIP	Μπορείς να προκαλέσεις επιπλέον ζημιά, όταν είσαι υπό την επιρροή του ’νθους Εξουσίας Σκότους.
ELEMENT_BUFF_EARTH_TOOLTIP	Μπορείς να προκαλέσεις επιπλέον ζημιά, όταν είσαι υπό την επιρροή του ’νθους Εξουσίας Γης.
ELEMENT_BUFF_ELECT_TOOLTIP	Μπορείς να προκαλέσεις επιπλέον ζημιά, όταν είσαι υπό την επιρροή του ’νθους Εξουσίας Αστραπής.
ELEMENT_BUFF_FIRE_TOOLTIP	Μπορείς να προκαλέσεις επιπλέον ζημιά, όταν είσαι υπό την επιρροή του ’νθους Εξουσίας Φωτιάς.
ELEMENT_BUFF_ICE_TOOLTIP	Μπορείς να προκαλέσεις επιπλέον ζημιά, όταν είσαι υπό την επιρροή του ’νθους Εξουσίας Πάγου.
ELEMENT_BUFF_NONE_TOOLTIP	Μπορείς να προκαλέσεις επιπλέον ζημιά, όταν είσαι υπό την επιρροή του ’νθους Εξουσίας.
ELEMENT_BUFF_WIND_TOOLTIP	Μπορείς να προκαλέσεις επιπλέον ζημιά, όταν είσαι υπό την επιρροή του ’νθους Εξουσίας Ανέμου.
EMOTION_ALCOHOL	Μπίρα
EMOTION_ANGRY	Επιδείνωση
EMOTION_ATTRACTIVE	Αποπλάνηση
EMOTION_BANTER	Ειρωνία
EMOTION_BUSY	Απασχολημένος
EMOTION_CALL	Τηλέφωνο
EMOTION_CELEBRATION	Πάρτι
EMOTION_CHARGING	Φόρτιση
EMOTION_CHEERS_1	Αγαλλίαση 1
EMOTION_CHEERS_2	Αγαλλίαση 2
EMOTION_CHEERUP	Ευθυμία
EMOTION_CHOOSE_ONE	Διάλεξε στόχο
EMOTION_CLAP	Χειροκρότημα
EMOTION_CLAP_KISS	Φιλί
EMOTION_CONGRATULATION	Αποδοχή
EMOTION_DANCE_1	Χορός 1
EMOTION_DANCE_2	Χορός 2
EMOTION_DANCE_3	Χορός 3
EMOTION_DANCE_4	Χορός 4
EMOTION_DANCE_5	Χορός 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Σάμπα
EMOTION_DOZE	Υπνάκος
EMOTION_EXERCISE	Ζέσταμα
EMOTION_FORGIVE	Συγχώρεση
EMOTION_FRENCH_KISS	Γαλλικό Φιλί
EMOTION_HUNGRY	Πείνα
EMOTION_JOY	Χαρά
EMOTION_LETTER	Ερωτικό γράμμα
EMOTION_NOSAY	Χωρίς λόγια
EMOTION_PUSH_UP	Πουσάπ
EMOTION_SAD	Θλίψη
EMOTION_SELFIE	Σέλφι
EMOTION_SHY	Απόρριψη
EMOTION_SIREN	Σειρήνα
EMOTION_SLAP	Χτύπημα
EMOTION_SMH	Πύργος Κόλασης Sung Mahi
EMOTION_WEATHER_1	Ήλιος
EMOTION_WEATHER_2	Ουράνιο τόξο
EMOTION_WEATHER_3	Φεγγάρι
EMOTION_WHIRL	Σύγχυση
EMPIRE_A	Βασίλειο του Shinsoo
EMPIRE_B	Βασίλειο του Chunjo
EMPIRE_C	Βασίλειο του Jinno
EMPIRE_SELECT_MODE	Επιλογή βασιλείου
EQUIPMENT_ADDITIONAL_PAGE_ACTIVE	Ενεργοποιήθηκε η επιπλέον σελίδα εξοπλισμού. Θα την βρεις στο παράθυρο εξοπλισμού.
EQUIPMENT_ALREADY_USE_ITEM	Δεν μπορεί να χρησιμοποιηθεί ξανά.
EQUIPMENT_CANNOT_ADDITIONAL_EQUIPMENT_PAGE	Δεν μπορείς να αλλάξεις τη σελίδα εξοπλισμού όταν ασχολείσαι με κάτι άλλο.
EQUIPMENT_CANNOT_ADDITIONAL_EQUIPMENT_PAGE_ITEM	Δεν μπορείς να αλλάξεις τη σελίδα εξοπλισμού όσο φοράς ένα αντικείμενο που δεν επιτρέπεται.
EQUIPMENT_CHANGE_PAGE_COOLTIME_FAIL	Παρακαλούμε δοκίμασε ξανά σε 1 λεπτό.
EQUIPMENT_CHANGE_PAGE_SUCCESS	Η σελίδα εξοπλισμού άλλαξε.
EQUIPMENT_TITLE_NAME	Παράθυρο εξοπλισμού
EXCHANGE_CANNOT_GIVE	Δεν μπορείς να κάνεις εμπόριο με αυτό το αντικείμενο.
EXCHANGE_CANT_EDIT_MONEY	Δε μπορείς να αλλάξεις το ποσό τώρα.
EXCHANGE_FAILURE_EQUIP_ITEM	Δε μπορείς να ανταλλάξεις εξοπλισμένα Αντικείμενα.
EXCHANGE_MONEY	Ποσό
EXCHANGE_TITLE	Ανταλλαγή με %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Χρειάζεσαι ακόμη %d Επεκτάσεις Καταλόγου.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Ο Κατάλογός σου έχει πλέον τον μέγιστο αριθμό Επεκτάσεων.
EXINVEN_USE_ITEM_QUESTION	Θέλεις να μεγεθύνεις τον Κατάλογό σου με %d Επεκτάσεις Καταλόγου;
FISHING_FAILURE	Έχασες το Δόλωμα.
FISHING_NOTIFY1	Φαίνεται ότι πιάστηκε στο αγκίστρι το εξής: %s.
FISHING_NOTIFY2	Φαίνεται ότι πιάστηκε ένα %s.
FISHING_RENEWAL_CANNOT_EMOTION	Δεν μπορείς να εκφράσεις συναισθήματα την ώρα που ψαρεύεις.
FISHING_RENEWAL_CANNOT_OPEN_1	Δεν μπορείς να το ανοίξεις την ώρα που ψαρεύεις.
FISHING_RENEWAL_CANNOT_OPEN_2	Δεν μπορείς να το κάνεις αυτό την ώρα που ψαρεύεις.
FISHING_RENEWAL_QUESTION	Ένα ψάρι τσιμπάει. Θέλεις να το πιάσεις;
FISHING_RENEWAL_TIMEOUT	’ργησες. Το ψάρι ξέφυγε.
FISHING_SUCCESS1	Έπιασες %s!
FISHING_SUCCESS2	Ψάρεψες %s!
FISHING_UNKNOWN	Κάτι τσίμπησε, αλλά δε μπορείς να δεις τι είναι.
FISHING_WRONG_PLACE	Δε μπορείς να ψαρέψεις εδώ.
FLOWER_EVENT_GET_SHOOT_CHRYSANTHEMUM	Απέκτησες Βλαστάρια Χρυσάνθεμου.
FLOWER_EVENT_GET_SHOOT_DAFFODIL	Απέκτησες Βλαστάρια Νάρκισσου.
FLOWER_EVENT_GET_SHOOT_ENVELOPE	Απέκτησες σπόρους λουλουδιών.
FLOWER_EVENT_GET_SHOOT_LILY	Απέκτησες Βλαστάρια Κρίνου.
FLOWER_EVENT_GET_SHOOT_MAY_BELL	Απέκτησες Βλαστάρια Μιγκέ.
FLOWER_EVENT_GET_SHOOT_SUNFLOWER	Απέκτησες Βλαστάρια Ηλίανθου.
FLOWER_EVENT_ITEM_FULL_AND_NOT_USE	Δεν μπορείς να χρησιμοποιήσεις αυτό το Αντικείμενο, επειδή έχεις ήδη το μέγιστο αριθμό βλασταριών.
FLOWER_EVENT_NOT_ENOUGH_EVENTORY_SPACE	Δεν έχεις αρκετό χώρο στον Κατάλογό σου.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_COUNT	Δεν έχεις αρκετά Βλαστάρια.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_ENVELOPE	Δεν έχεις αρκετούς Σπόρους λουλουδιών.
FLOWER_EVENT_USE_ITEM_TEXT1	Θέλεις να αντικαταστήσεις την ενεργοποιημένη επίδραση;
FLOWER_EVENT_USE_ITEM_TEXT2	Η προσπάθεια μπορεί να αποτύχει και το λουλούδι θα μαραθεί.
FOR_FEMALE	Για γυναίκες
FOR_MALE	Για άνδρες
FRAGMENT_COMB_COST	Κόστος συνδυασμού: %s
GAME_CANNOT_MINING	Δε μπορείς να εξορύξεις Μετάλλευμα ενώ ιππεύεις.
GAME_CANNOT_PICK_ITEM	Δε μπορείς να συλλέξεις το Αντικείμενο αφού δεν το κέρδισες.
GAME_GUILDWAR_NOW_JOIN	Θέλεις να πάρεις μέρος στον πόλεμο συντεχνιών;
GAME_INIT_ERROR_CURSOR	Ο κέρσορας δεν μπορεί να εδραιωθεί.
GAME_INIT_ERROR_DIRECTX	Για να τρέξει το παιχνίδι πρέπει να είναι εγκατεστημένο το DirectX 8.1. \nΕγκαταστήστε το DirectX 8.1 ή μεταγενέστερο.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Δε βρέθηκε κάρτα γραφικών. \nΈλεγξε αν η VGA κάρτα σου είναι εγκαταστημένη σωστά.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Δε βρέθηκε κάρτα γραφικών. \nΈλεγξε αν έχεις κάρτα VGA.\nΕναλλακτικά, μπορείς να ενεργοποιήσεις το hardware accelerator.\n(Θέσε το hardware accelerator στο max \nControl Panel->Display->Settings->Advanced->Troubleshoot tab)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Η κάρτα γραφικών του υπολογιστή δεν υποστηρίζει λειτουργία παραθύρου στα 32bit. \n’λλαξε το στα 16bit ή χρησιμοποίησε την λειτουργία πλήρους οθόνης.
GAME_INIT_ERROR_ITEM_PROTO	Δεν υπάρχουν Δεδομένα Αντικειμένων.\nΕπανεγκατάστησε το παιχνίδι.
GAME_INIT_ERROR_MAIN_WINDOW	Το κυρίως παράθυρο δεν μπορεί να εμφανιστεί.
GAME_INIT_ERROR_MOB_PROTO	Δεν υπάρχουν Δεδομένα Τεράτων.\nΕπανεγκατάστησε το παιχνίδι.
GAME_INIT_ERROR_NETWORK	Δε βρέθηκε σύνδεση.\nΈλεγξε τη σύνδεσή σου.
GAME_PICK_MONEY	Έλαβες %d Yang.
GEM_SYSTEM_ADD_SLOT	Απαιτούμενο αντικείμενο: %s.\nΘέλεις να χρησιμοποιήσεις %d τώρα, για ανοίξεις άλλη μια θέση;
GEM_SYSTEM_BUY_ITEM	Θέλεις να αγοράσεις αυτό το αντικείμενο;
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Δεν έχεις επαρκή «Επαναφορά Εμπορίου Gaya».
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Δεν έχεις αρκετά Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Δεν μπορούν να επεκταθούν άλλες θέσεις.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] ’νοιξε πρώτα το Εμπόριο Gaya.
GEM_SYSTEM_PICK_GEM	[Gaya] Ποσότητα Gaya: %d
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Επιθυμείς επαναφορά;
GIVEUP_QUESTION	Θέλεις στ' αλήθεια να τα παρατήσεις;
GUILDBANK_CLEARBANK	Προσοχή: Η αποθήκη συντεχνίας πρέπει να είναι άδεια!
GUILDBANK_DONT_MONEY_OUT	Δεν έχεις Yang στην τράπεζα συντεχνίας!
GUILDBANK_GOLD_IN	Κατάθεση
GUILDBANK_GOLD_OUT	Ανάληψη
GUILDBANK_ITEM_IN	Αποθήκευση
GUILDBANK_ITEM_OUT	Ανάληψη αντικειμένου
GUILDBANK_MONEYIN	Κατάθεση Yang
GUILDBANK_MONEYOUT	Ανάληψη Yang
GUILDBANK_NOTUSE	Δεν έχεις τα απαραίτητα δικαιώματα.
GUILDBANK_NOT_ENOUGH_MONEY	Δεν έχεις τόσα Yang για κατάθεση.
GUILDBANK_OVER_INCOME	Έχει συμπληρωθεί το όριο του λογαριασμού.
GUILDBANK_OVER_MONEY	Πλήρης λογαριασμός συντεχνίας
GUILDLAND_ABANDON	Διάλυση γης συντεχνίας
GUILDLAND_ABANDON_TEXT1	Θέλεις να το εγκαταλείψεις τη Γη συντεχνίας;
GUILDLAND_ABANDON_TEXT2	Σίγουρα θέλεις να εγκαταλείψεις τη Γη συντεχνίας;
GUILDLAND_ABANDON_TEXT3	Η αποθήκη συντεχνίας κι όλα τα κτίρια κατεδαφίστηκαν.
GUILDLAND_ACCEPT	Ναι
GUILDLAND_DONTHAVE_LAND	Δεν έχεις γη συντεχνίας.
GUILDLAND_NOT	Όχι
GUILDLIST_APPLICANT	Θέλεις να κάνεις αίτηση;
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Το ύψος δεν είναι 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Το πλάτος δεν είναι 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Το πλάτος δεν είναι 64 Pixel
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Το ύψος δεν είναι 128 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Το παιχνίδι δεν υποστηρίζει αυτήν την εικόνα.
GUILDMARK_UPLOADER_ERROR_PATH	Μετακίνησε τα δεδομένα στο φάκελο metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Δεν επιλέχθηκε εικόνα.
GUILDWAR_ALL	Μάχες (Μ)
GUILDWAR_CTF_TITLE	Μάχη σημαίας
GUILDWAR_DRAW	Ισοπαλίες (Ι)
GUILDWAR_GAINSCORE_FIFTY	50 πόντοι
GUILDWAR_GAINSCORE_HUNDRED	100 πόντοι
GUILDWAR_GAINSCORE_THIRTY	30 πόντοι
GUILDWAR_GAMETIME_SIXTY	60 λεπτά
GUILDWAR_GAMETIME_TEN	10 λεπτά
GUILDWAR_GAMETIME_THIRTY	30 λεπτά
GUILDWAR_INPUT_OTHERGUILD	Εισαγωγή αντίπαλης συντεχνίας.
GUILDWAR_LADDER	Πόντοι κατάταξης
GUILDWAR_LIMIT_MEMBER_FIVE	Ελάχιστος αριθμός συμμετεχόντων: 5.
GUILDWAR_LOSE	Ήττες (Η)
GUILDWAR_NORMAL_TITLE	Μάχη πεδίου
GUILDWAR_OVER_MEMBERCOUNT	Συμπληρώθηκε το όριο μελών.
GUILDWAR_QUESTION_LINE_1	Η συντεχνία %s κήρυξε πόλεμο στην συντεχνία σου.
GUILDWAR_QUESTION_LINE_2	Δέχεσαι; (%s)
GUILDWAR_RANKING	Θέση
GUILDWAR_RECODE_ALL	%d Μ, %d Ν, %d Η, %d Ι
GUILDWAR_SELECT_MEMBER_COUNT	Επιλογή αριθμού μελών
GUILDWAR_TYPE_DEFENSE	Μάχη ασπίδων
GUILDWAR_TYPE_TIGER	Μάχη καταστροφής
GUILDWAR_TYPE_TIME	Επίθεση χρόνου
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Μάχη αρένας
GUILDWAR_WIN	Νίκες (Ν)
GUILDWAR_WIN_FIVE	Πέντε γύροι
GUILDWAR_WIN_ONE	Ένας γύρος
GUILDWAR_WIN_THREE	Τρεις γύροι
GUILDWINDOW_BUTTON_BANKGOLDINFO	Αρχείο Αποθήκης συντεχνίας
GUILDWINDOW_BUTTON_BASEABANDON	Διάλυση γης συντεχνίας
GUILDWINDOW_BUTTON_BASEDEAL	Πώληση γης συντεχνίας
GUILDWINDOW_BUTTON_BOARD	Σημειώσεις συντεχνίας
GUILDWINDOW_BUTTON_CHANGEMASTER	Αλλαγή Αρχηγού συντεχνίας
GUILDWINDOW_BUTTON_DECLARE	Κήρυξη πολέμου
GUILDWINDOW_BUTTON_DONATE	Δωρεά
GUILDWINDOW_BUTTON_GOLDIN	Κατάθεση
GUILDWINDOW_BUTTON_GOLDOUT	Ανάληψη
GUILDWINDOW_BUTTON_GRADE	Διαχείριση δικαιωμάτων
GUILDWINDOW_BUTTON_GUILDLIST	Λίστα συντεχνιών
GUILDWINDOW_BUTTON_HEALGSP	Αποκατάσταση Δύναμης Δράκου
GUILDWINDOW_BUTTON_INFO	Πληροφορίες συντεχνίας
GUILDWINDOW_BUTTON_LANDINFO	Στοιχεία γης
GUILDWINDOW_BUTTON_MARK	Ανέβασμα σήματος συντεχνίας
GUILDWINDOW_BUTTON_MEMBER	Μέλη
GUILDWINDOW_BUTTON_OFFER	Δωρεά ΕΜΠ
GUILDWINDOW_BUTTON_OUTMEMBER	Αφαίρεση μέλους
GUILDWINDOW_BUTTON_SKILL	Ικανότητες συντεχνίας
GUILDWINDOW_BUTTON_SYMBOL	Ανέβασμα σημαίας συντεχνίας
GUILDWINDOW_BUY_GUILD_LAND	Αγορά γης
GUILDWINDOW_CHANGE_BLACKSMITH	Αλλαγή επαγγέλματος
GUILDWINDOW_CHANGE_OBJECT	Αναμόρφωση
GUILDWINDOW_CHANGE_SMELTER	Αναμόρφωση κλιβάνου
GUILDWINDOW_CREATE_OBJECT	Κατασκευή κτιρίου
GUILDWINDOW_DEAL_GUILD_LAND	Πώληση γης
GUILDWINDOW_GRADE_BANK	Μπορεί να χρησιμοποιεί την τράπεζα και την αποθήκη συντεχνίας.
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Μπορεί να αφαιρεί μέλη από τη συντεχνία.
GUILDWINDOW_GRADE_GRADENAME	Όνομα Βαθμού
GUILDWINDOW_GRADE_GRADENUMBER	Αριθμός Βαθμού
GUILDWINDOW_GRADE_GUILDWAR	Μπορεί να επιλέγει μέλη, που θα συμμετέχουν ως πολεμιστές.
GUILDWINDOW_GRADE_INVITEAUTHORITY	Μπορεί να δέχεται νέα μέλη στη συντεχνία.
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Μπορεί να αφήνει σημειώσεις συντεχνίας.
GUILDWINDOW_GRADE_SKILLAUTHORITY	Μπορεί να χρησιμοποιεί Ικανότητες Συντεχνίας.
GUILDWINDOW_INFO_LEVEL5	+5% ΕΜΠ σε δωρεά συντεχνίας
GUILDWINDOW_INFO_LEVEL10	Αυξάνει μέγ. Αριθμό μελών
GUILDWINDOW_INFO_LEVEL15	Έκπτωση: Δύναμη Δράκου
GUILDWINDOW_INFO_LEVEL20	Τράπεζα: Απαλλαγή φόρων
GUILDWINDOW_LAND_TAX	Ενοίκιο
GUILDWINDOW_LIST_ALL	Όλα τα Βασίλεια
GUILDWINDOW_LIST_ALREADY_REGISTER	[Συντεχνία] Έχεις ήδη κάνει αίτηση σε αυτήν τη συντεχνία.
GUILDWINDOW_LIST_APPLICANT_LIST	Λίστα αιτούντων
GUILDWINDOW_LIST_CHRACTER_JOB	Κλάση
GUILDWINDOW_LIST_CHRACTER_LV	Επίπεδο
GUILDWINDOW_LIST_CHRACTER_NAME	Όνομα Χαρακτήρα
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Διδασκαλία
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Μέλη
GUILDWINDOW_LIST_GUILD_LIST	Λίστα συντεχνιών
GUILDWINDOW_LIST_GUILD_LV	Επίπεδο
GUILDWINDOW_LIST_GUILD_NAME	Συντεχνία
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Συντεχνία] Παρακαλούμε πληκτρολόγησε ένα όνομα συντεχνίας.
GUILDWINDOW_LIST_LADDER	Πόντοι κατάταξης
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Συντεχνία] Δεν υπάρχει προκήρυξη γι' αυτήν τη συντεχνία.
GUILDWINDOW_LIST_PROMOTE_GUILD	Αίτηση
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Λίστα συντεχνιών
GUILDWINDOW_LIST_RANKING	Θέση
GUILDWINDOW_LIST_RANKING_COUNT	Θέση
GUILDWINDOW_LIST_REGISTER	Αιτήσεις
GUILDWINDOW_LIST_REGISTER_GUILD	Αίτηση στη συντεχνία
GUILDWINDOW_LIST_SEARCH	Αναζήτηση
GUILDWINDOW_LIST_SELECT_GUILD	[Συντεχνία] Παρακαλούμε διάλεξε μια συντεχνία, για να κάνεις αίτηση.
GUILDWINDOW_PROMOTE_REFRESH	Διαφήμιση
GUILDWINDOW_PROMOTE_REGISTER	Διαφήμιση
GUILDWINDOW_SP_RECOVER	Δύναμη Δράκου
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Επέκταση βωμού
GUILDWINDOW_UPGRADE_GUILDBANK	Επέκταση τράπεζας
GUILD_ATTENDANCE_FAIL_ALREADY	Έχεις ήδη συμμετάσχει σήμερα.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Δεν μπορείς να συμμετάσχεις αυτήν τη στιγμή. Η Συμμετοχή ανανεώνεται στις 5:00.
GUILD_BANKINFO_CLOSE	Κλείσιμο
GUILD_BANKINFO_NAME	Μέλος
GUILD_BANKINFO_TYPE	Αντικείμενο/Νόμισμα
GUILD_BANKINFO_USETYPE	Προσφορά
GUILD_BANK_CLOSE	Κλείσιμο
GUILD_BANK_INFO	Αρχείο Αποθήκης συντεχνίας
GUILD_BOARD_ID	Μέλος
GUILD_BOARD_TEXT	Μήνυμα
GUILD_BUILDING_FIX_CHANGE	Θέλεις πραγματικά να αλλάξεις τη θέση;
GUILD_BUILDING_FIX_CHANGE_GOLD	Κόστος: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Θέλεις πραγματικά να σβήσεις το αντικείμενο;
GUILD_BUILDING_FIX_NEED_BUILDING	Δεν υπάρχει κτίριο.
GUILD_BUILDING_GRADE	Βαθμός
GUILD_BUILDING_LOG_PLUS	Κορμός+
GUILD_BUILDING_NAME	Όνομα κτιρίου
GUILD_BUILDING_PLY_PLUS	Καπλαμάς+
GUILD_BUILDING_SMELT_STONE	Λίθος ρούνου
GUILD_BUILDING_STONE_PLUS	Θεμέλιος Λίθος+
GUILD_CANNOT_HEAL_GSP_ANYMORE	Η ενέργεια του Δρακοφαντάσματος είναι ήδη πλήρης.
GUILD_CHANGEMASTER_TEXT1	Νέος αρχηγός θα είναι: %s
GUILD_CHANGEMASTER_TEXT2	Θέλεις να ορίσεις έναν νέο αρχηγό συντεχνίας;
GUILD_CHANGEMASTER_TEXT3	Σίγουρα θέλεις να εγκαταλείψεις τη θέση
GUILD_CHANGEMASTER_TEXT4	του αρχηγού συντεχνίας;
GUILD_COMMENT	Γράψε
GUILD_CREATE_ERROR_INSULT_NAME	Μη επιτρεπτό όνομα συντεχνίας.
GUILD_DEFAULT_GRADE	Μέλη συντεχνίας
GUILD_DELETE	Διαγραφή
GUILD_DEPOSIT	Κατάθεση
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Δεν έχεις αρκετά δελτία δωρεάς.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Ο κατάλογός σου είναι γεμάτος. Δεν μπορείς να κάνεις δωρεά.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Πρέπει να έχεις φτάσει τουλάχιστον στο επίπεδο 30, για να κάνεις δωρεά.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Δεν έχεις αρκετά δελτία μεσαίας δωρεάς.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Ανεπαρκή Yang.
GUILD_DONATE_FAIL_TIME	Μετά την είσοδό σου στη συντεχνία πρέπει να περάσουν 24 ώρες για να κάνεις μια δωρεά.
GUILD_DONATE_QUESTION_HIGH	Θέλεις να κάνεις υψηλή δωρεά;
GUILD_DONATE_QUESTION_MIDDLE	Θέλεις να κάνεις μεσαία δωρεά;
GUILD_DONATE_QUESTION_NORMAL	Θέλεις να κάνεις μικρή δωρεά;
GUILD_DO_YOU_HEAL_GSP	Θέλεις να δώσεις %d Yang %d για την επαναφορά του Δρακοφαντάσματος;
GUILD_DO_YOU_JOIN	 σε προσκάλεσε στην Συντεχνία. Θα γίνεις μέλος;
GUILD_DRAGONLAIR_MIN	Λεπ.
GUILD_DRAGONLAIR_PARTY_ALL	Συνολική λίστα κατάταξης
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	από 11η θέση και μετά: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Βοήθεια
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1η θέση: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4η - 10η θέση: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2η - 3η θέση: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Μέλη
GUILD_DRAGONLAIR_PARTY_NOW	Εβδομαδιαία λίστα κατάταξης
GUILD_DRAGONLAIR_PARTY_PAST	Προηγούμενη λίστα κατάταξης
GUILD_DRAGONLAIR_PARTY_TIME	Χρόνος
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Ανταμοιβή
GUILD_DRAGONLAIR_RANKING_FAIL	ΑΠΟΤΥΧΙΑ
GUILD_DRAGONLAIR_RANKING_NONE	ΝΕΟ
GUILD_DRAGONLAIR_RANKING_SUCCESS	ΕΠΙΤΥΧΙΑ
GUILD_DRAGONLAIR_SECOND	Δευτ.
GUILD_EMPTY_AREA	’δεια περιοχή
GUILD_ENEMY_GUILD_NAME	Όνομα συντεχνίας του εχθρού
GUILD_FACILITY	Υπόστεγο
GUILD_GEM	Πετράδι
GUILD_HEADQUARTER	Κύριο Κτίριο
GUILD_HEAL_GSP	Φόρτιση Δρακοφαντάσματος
GUILD_INFO_ENEMY_GUILD_EMPTY	Κενό
GUILD_MARK_NOT_ENOUGH_LEVEL	Απαιτείται ελάχιστο επίπεδο 3
GUILD_MARK_UPLOAD_NOTICE	Παρακαλούμε περίμενε λίγο, για να δηλώσεις τα λογότυπα της συντεχνίας.
GUILD_MEMBEROUT_AUTH	Δεν μπορείς να αφαιρέσεις μέλη.
GUILD_MEMBEROUT_NOMAL	Θέλεις να αφαιρέσεις αυτό το μέλος;
GUILD_MEMBER_JOB	Κλάση
GUILD_MEMBER_KNIGHT	Πολεμιστής
GUILD_MEMBER_LEVEL	Επίπεδο
GUILD_MEMBER_NAME	Μέλος
GUILD_MEMBER_RANK	Θέση
GUILD_MEMBER_SPECIFIC_GRAVITY	Δωρισμένη ΕΜΠ
GUILD_NAME	Όνομα συντεχνίας
GUILD_NOT_ENOUGH_MATERIAL	Δεν έχεις αρκετό υλικό γι' αυτό το κτίριο.
GUILD_NOT_ENOUGH_MONEY	Δεν έχεις αρκετά Yang γι' αυτό το κτίριο.
GUILD_NO_NOTICE_PERMISSION	Δεν έχεις δικαίωμα να κάνεις αναγγελίες.
GUILD_OBJECT	Αντικείμενα
GUILD_OBJECT_POSSIBLE_NEWWORLD	Αυτό το κτίριο είναι διαθέσιμο μόνο στην ήπειρο Yohara.
GUILD_OFFER_EXP	Επένδυση εμπειρίας
GUILD_SELECT_ONE	Διάλεξε ένα μέλος συντεχνίας.
GUILD_SHORT_EXP	Μη επαρκής εμπειρία.
GUILD_SITE_AUCTION_END_TIME	Πώληση γης: %02d/%02d (μήνας/μέρα) στις %02d:%02d η ώρα
GUILD_SITE_AUCTION_END_TIME_DEFAULT	Αγορά γης: Ν/Α
GUILD_SITE_AUCTION_INFO	Προσφερόμενη γη: %s/%d, %d
GUILD_SITE_AUCTION_INFO_DEFAULT	Προσφερόμενη γη: Ν/Α
GUILD_SITE_AUCTION_MAP_INFO	Ημερομηνία (μήνας/μέρα): %02d/%02d; Ώρα: %02d:%02d
GUILD_SITE_AUCTION_STATE_NONE	Δόθηκαν όλες οι προσφορές.
GUILD_SITE_AUCTION_STATE_REGIST	Στον %s πωλείται η γη %s, %s. Μόνο ο αρχηγός συντεχνίας μπορεί να δηλωθεί για την αγορά γης.
GUILD_SITE_AUCTION_STATE_RUN	Η πώληση γης λήγει στις %02d/%02d (μήνας/μέρα) στις %02d:%02d η ώρα.
GUILD_SITE_AUCTION_STATE_WAIT	Στις %02d/%02d (μήνας/μέρα) στις %02d:%02d η ώρα ξεκινάει η πώληση γης για %s, χώρα %d, %d.
GUILD_SITE_AUTO_ABNDON_TIME	Αυτόματη εγκατάλειψη γης: %s
