ACCE_ABSORB_COST	Coûts de combi : %d
GUILDWAR_LIMIT_MEMBER_FIVE	Il faut au moins 5 participants.
GUILDWAR_LOSE	Défaites (D)
GUILDWAR_NORMAL_TITLE	Champ de bataille
GUILDWAR_OVER_MEMBERCOUNT	Votre affiliation touche à sa fin.
GUILDWAR_QUESTION_LINE_1	La Guilde %s a déclaré la guerre à votre Guilde.
GUILDWAR_QUESTION_LINE_2	Acceptez vous ? (%s)
GUILDWAR_RANKING	Rang
GUILDWAR_RECODE_ALL	%d C, %d V, %d D, %d N
GUILDWAR_SELECT_MEMBER_COUNT	Veuillez choisir le nombre de participants.
GUILDWAR_TYPE_DEFENSE	Combat de bouclier
GUILDWAR_TYPE_TIGER	Combat à mort
GUILDWAR_TYPE_TIME	Attaque minutée
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Combat en arène
GUILDWAR_WIN	Victoires (V)
GUILDWAR_WIN_FIVE	Cinq parties
GUILDWAR_WIN_ONE	Une partie
GUILDWAR_WIN_THREE	Trois parties
GUILDWINDOW_BUTTON_BANKGOLDINFO	Historique de guilde
GUILDWINDOW_BUTTON_BASEABANDON	Abandonner le terrain de guilde
GUILDWINDOW_BUTTON_BASEDEAL	Vendre le terrain de guilde
GUILDWINDOW_BUTTON_BOARD	Notes de guilde
GUILDWINDOW_BUTTON_CHANGEMASTER	Changer de chef de guilde
GUILDWINDOW_BUTTON_DECLARE	Déclaration de guerre
GUILDWINDOW_BUTTON_DONATE	Donation
GUILDWINDOW_BUTTON_GOLDIN	Versement
GUILDWINDOW_BUTTON_GOLDOUT	Paiement
GUILDWINDOW_BUTTON_GRADE	Gestion des droits
GUILDWINDOW_BUTTON_GUILDLIST	Liste de guilde
GUILDWINDOW_BUTTON_HEALGSP	Restaurer le pouvoir du dragon
GUILDWINDOW_BUTTON_INFO	Information sur la guilde
GUILDWINDOW_BUTTON_LANDINFO	Informations du terrain
GUILDWINDOW_BUTTON_MARK	Télécharger le symbole de la guilde
GUILDWINDOW_BUTTON_MEMBER	Membres
GUILDWINDOW_BUTTON_OFFER	Donner de l'EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Supprimer membre
GUILDWINDOW_BUTTON_SKILL	Compétences de guilde
GUILDWINDOW_BUTTON_SYMBOL	Télécharger le drapeau de guilde
GUILDWINDOW_BUY_GUILD_LAND	Achat de terrain
GUILDWINDOW_CHANGE_BLACKSMITH	Changer de profession
GUILDWINDOW_CHANGE_OBJECT	Transformation
GUILDWINDOW_CHANGE_SMELTER	Transformation de fonderie
GUILDWINDOW_CREATE_OBJECT	Transformation de bâtiment
GUILDWINDOW_DEAL_GUILD_LAND	Vente de terrain
GUILDWINDOW_GRADE_BANK	Est autorisé à utiliser la banque et l'entrepôt de guilde.
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Est autorisé à bannir un membre de la guilde.
GUILDWINDOW_GRADE_GRADENAME	Nom de grade
GUILDWINDOW_GRADE_GRADENUMBER	Numéro de grade
GUILDWINDOW_GRADE_GUILDWAR	Est autorisé à choisir les combattants parmi les membres de guilde.
GUILDWINDOW_GRADE_INVITEAUTHORITY	Est autorisé à accepter de nouveaux membres de guilde.
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Est autorisé à afficher des notes de guilde.
GUILDWINDOW_GRADE_SKILLAUTHORITY	Est autorisé à utiliser les compétences de guilde.
GUILDWINDOW_INFO_LEVEL5	Don de guilde : +5 % EXP
GUILDWINDOW_INFO_LEVEL10	Augmente n. max. de membres
GUILDWINDOW_INFO_LEVEL15	Promo : pouvoir du dragon
GUILDWINDOW_INFO_LEVEL20	Banque : exonération impôt
GUILDWINDOW_LAND_TAX	Bail
GUILDWINDOW_LIST_ALL	Tous les empires
GUILDWINDOW_LIST_ALREADY_REGISTER	[Guilde] Vous avez déjà postulé.
GUILDWINDOW_LIST_APPLICANT_LIST	Liste des candidats
GUILDWINDOW_LIST_CHRACTER_JOB	Classe
GUILDWINDOW_LIST_CHRACTER_LV	Niveau
GUILDWINDOW_LIST_CHRACTER_NAME	Nom du personnage
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Apprentissage
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Membres
GUILDWINDOW_LIST_GUILD_LIST	Liste de guilde
GUILDWINDOW_LIST_GUILD_LV	Niveau
GUILDWINDOW_LIST_GUILD_NAME	Guilde
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Guilde] Veuillez entrer un nom de guilde.
GUILDWINDOW_LIST_LADDER	Points de grade
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Guilde] Cette guilde n'a fait aucun appel d'offre.
GUILDWINDOW_LIST_PROMOTE_GUILD	Candidature
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Liste de guilde
GUILDWINDOW_LIST_RANKING	Position
GUILDWINDOW_LIST_RANKING_COUNT	Position
GUILDWINDOW_LIST_REGISTER	Candidatures
GUILDWINDOW_LIST_REGISTER_GUILD	Poser votre candidature auprès de la guilde
GUILDWINDOW_LIST_SEARCH	Chercher
GUILDWINDOW_LIST_SELECT_GUILD	[Guilde] Veuillez choisir la guilde à laquelle vous souhaitez adhérer.
GUILDWINDOW_PROMOTE_REFRESH	Publicité
GUILDWINDOW_PROMOTE_REGISTER	Publicité
GUILDWINDOW_SP_RECOVER	Pouvoir du Dragon
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Agrandissement d'autel
GUILDWINDOW_UPGRADE_GUILDBANK	Agrandissement de banque
GUILD_ATTENDANCE_FAIL_ALREADY	Vous avez déjà participé aujourd'hui.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Vous ne pouvez pas participer maintenant. La réinitialisation de la participation se déroule toujours à 5h00.
GUILD_BANKINFO_CLOSE	Fermer
GUILD_BANKINFO_NAME	Membre
GUILD_BANKINFO_TYPE	Objet/devise
GUILD_BANKINFO_USETYPE	Action
GUILD_BANK_CLOSE	Fermer
GUILD_BANK_INFO	Historique de guilde
GUILD_BOARD_ID	Membre
GUILD_BOARD_TEXT	Message
GUILD_BUILDING_FIX_CHANGE	Voulez-vous vraiment changer la position ?
GUILD_BUILDING_FIX_CHANGE_GOLD	Coût : 1 000 000 Yangs
GUILD_BUILDING_FIX_DELETE	Voulez-vous vraiment supprimer cet objet ?
GUILD_BUILDING_FIX_NEED_BUILDING	Aucun bâtiment.
GUILD_BUILDING_GRADE	Grade
GUILD_BUILDING_LOG_PLUS	Tronc+
GUILD_BUILDING_NAME	Nom du bâtiment
GUILD_BUILDING_PLY_PLUS	Contreplaqué+
GUILD_BUILDING_SMELT_STONE	Pierre de rune
GUILD_BUILDING_STONE_PLUS	Pierre de fondation+
GUILD_CANNOT_HEAL_GSP_ANYMORE	L'énergie de l'Esprit du Dragon est déjà au maximum.
GUILD_CHANGEMASTER_TEXT1	Le nouveau chef sera : %s
GUILD_CHANGEMASTER_TEXT2	Souhaitez-vous élire un nouveau chef de guilde ?
GUILD_CHANGEMASTER_TEXT3	Êtes-vous sûr de vouloir
GUILD_CHANGEMASTER_TEXT4	devenir le chef de guilde ?
GUILD_COMMENT	Ecrivez
GUILD_CREATE_ERROR_INSULT_NAME	Nom de Guilde non valide
GUILD_DEFAULT_GRADE	Membres de la Guilde
GUILD_DELETE	Effacer
GUILD_DEPOSIT	Dépôt
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Vous n'avez pas assez de bons de donation élevée.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Votre inventaire est plein. Vous ne pouvez pas faire de donation.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Vous devez au moins atteindre le niveau 30 pour faire une donation.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Vous n'avez pas assez de bons de donation moyenne.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Pas assez de Yangs.
GUILD_DONATE_FAIL_TIME	Vous ne pouvez pas faire de donation pendant les 24 heures après être entré dans la guilde.
GUILD_DONATE_QUESTION_HIGH	Voulez-vous faire une donation élevée ?
GUILD_DONATE_QUESTION_MIDDLE	Voulez-vous faire une donation moyenne ?
GUILD_DONATE_QUESTION_NORMAL	Voulez-vous faire une donation ordinaire ?
GUILD_DO_YOU_HEAL_GSP	Voulez-vous restaurer pour %d Yangs %d unités d'Esprit du Dragon ?
GUILD_DO_YOU_JOIN	, vous a invité. Rejoindre cette guilde ?
GUILD_DRAGONLAIR_MIN	Min.
GUILD_DRAGONLAIR_PARTY_ALL	Liste générale des meilleurs joueurs
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	À partir de la 11e place : 100 Gayas
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Aide
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1re place : 400 Gayas
GUILD_DRAGONLAIR_PARTY_LINE_THREE	De la 4e à la 10e place : 200 Gayas
GUILD_DRAGONLAIR_PARTY_LINE_TWO	De la 2e à la 3e place : 300 Gayas
GUILD_DRAGONLAIR_PARTY_MEMBER	Membres
GUILD_DRAGONLAIR_PARTY_NOW	Liste des meilleurs joueurs hebdomadaire
GUILD_DRAGONLAIR_PARTY_PAST	Liste des meilleurs joueurs précédente
GUILD_DRAGONLAIR_PARTY_TIME	Temps
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Récompense
GUILD_DRAGONLAIR_RANKING_FAIL	ÉCHEC
GUILD_DRAGONLAIR_RANKING_NONE	NOUVEAU
GUILD_DRAGONLAIR_RANKING_SUCCESS	SUCCÈS
GUILD_DRAGONLAIR_SECOND	Sec.
GUILD_EMPTY_AREA	Territoire vide
GUILD_ENEMY_GUILD_NAME	Nom de Guilde des ennemis
GUILD_FACILITY	Bâtiment Externe
GUILD_GEM	Gemme
GUILD_HEADQUARTER	Bâtiment Principal
GUILD_HEAL_GSP	Restaurer l'Esprit du Dragon
GUILD_INFO_ENEMY_GUILD_EMPTY	Aucune
GUILD_MARK_NOT_ENOUGH_LEVEL	Niveau min. requis : 3
GUILD_MARK_UPLOAD_NOTICE	Veuillez patienter un instant afin d'enregistrer le logo de guilde.
GUILD_MEMBEROUT_AUTH	Vous ne pouvez pas éliminer de membres.
GUILD_MEMBEROUT_NOMAL	Souhaitez-vous supprimer ce membre ?
GUILD_MEMBER_JOB	Classe
GUILD_MEMBER_KNIGHT	Combattant
GUILD_MEMBER_LEVEL	Niveau
GUILD_MEMBER_NAME	Membre
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	Don d'EXP
GUILD_NAME	Nom de Guilde
GUILD_NOT_ENOUGH_MATERIAL	Pas assez de ressources pour ce bâtiment.
GUILD_NOT_ENOUGH_MONEY	Pas assez de Yangs pour ce bâtiment.
GUILD_NO_NOTICE_PERMISSION	Vous n'avez pas les droits pour rédiger une annonce.
GUILD_OBJECT	Objets
GUILD_OBJECT_POSSIBLE_NEWWORLD	Ce bâtiment n'est disponible que sur le continent de Yohara.
GUILD_OFFER_EXP	Investir avec des XP
GUILD_SELECT_ONE	Choisissez un membre de la guilde.
GUILD_SHORT_EXP	Pas assez de points d'expérience.
GUILD_SITE_AUCTION_END_TIME	Vente aux enchères de terres : %02d/%02d (mois/jour) à %02dh%02d
GUILD_SITE_AUCTION_END_TIME_DEFAULT	Vente aux enchères des terres : s.o.
GUILD_SITE_AUCTION_INFO	Terres proposées : %s/%d, %d
GUILD_SITE_AUCTION_INFO_DEFAULT	Terres proposées : s.o.
GUILD_SITE_AUCTION_MAP_INFO	Date (mois/jour): %02d/%02d ; heure : %02dh%02d
GUILD_SITE_AUCTION_STATE_NONE	Toutes les offres ont été soumises.
GUILD_SITE_AUCTION_STATE_REGIST	Dans %s, l'enchère des terres %s, %s commencera. Seuls les chefs de guildes peuvent s'inscrire aux ventes aux enchères de terres.
GUILD_SITE_AUCTION_STATE_RUN	La vente aux enchères de terres termine le %02d/%02d (mois/jour) à %02dh%02d.
GUILD_SITE_AUCTION_STATE_WAIT	Au %02d/%02d (mois/jour) à %02dh%02d commence la vente aux enchères de terres pour %s, contrée %d, %d.
GUILD_SITE_AUTO_ABNDON_TIME	Adjudication automatique des terres : %s
GUILD_SITE_TAX_INFO	Le terrain de guilde est cédé dans %s. Tous les objets présents dans l'entrepôt de guilde seront supprimés.
GUILD_TILE_BASEINFO	Informations du terrain
GUILD_TILE_BOARD	Notes de guilde
GUILD_TILE_GRADE	Gestion des droits
GUILD_TILE_INFO	Informations sur la Guilde
GUILD_TILE_MEMBER	Membres
GUILD_TILE_SKILL	Compétence de Guilde
GUILD_USE_MASTER_ONLY	Seul le chef de guilde possède ces droits.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Terrain de guerre de guildes
GUILD_WAR2	Terrain de guerre de guildes
GUILD_WAR3	Terrain de guerre de guildes
GUILD_WAR4	Terrain de guerre de guildes
GUILD_WAR_GAINSCORE_FIFTY	50 points
GUILD_WAR_GAINSCORE_HUNDRED	100 points
GUILD_WAR_GAINSCORE_THIRTY	30 points
GUILD_WAR_GAMETIME_SIXTY	60 minutes
GUILD_WAR_GAMETIME_TEN	10 minutes
GUILD_WAR_GAMETIME_THIRTY	30 minutes
GUILD_WAR_LIMIT_30MIN	Temps : 30 Minutes
GUILD_WAR_REWARD_POTION	Récompense : le vainqueur reçoit une potion/
GUILD_WAR_SELECT_WAR	Choisir le type de combat
GUILD_WAR_TYPE_DEFENSE	Combat de bouclier
GUILD_WAR_TYPE_DIE	Combat en arène
GUILD_WAR_TYPE_FLAG	Combat de drapeau
GUILD_WAR_TYPE_NORMAL	Champ de bataille
GUILD_WAR_TYPE_TIGER	Combat à mort
GUILD_WAR_TYPE_TIME	Attaque minutée
GUILD_WAR_USE_BATTLE_MAP	Lieu : Arène de guerre des guildes
GUILD_WAR_USE_NORMAL_MAP	Lieu : carte normale
GUILD_WAR_WIN_CHECK_SCORE	Le plus haut résultat gagne la guerre.
GUILD_WAR_WIN_FIVE	Cinq parties
GUILD_WAR_WIN_ONE	Une partie
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Capturez le drapeau de l'ennemi
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	et ramenez-le à votre base.
GUILD_WAR_WIN_THREE	Trois parties
GUILD_WAR_WIN_WIPE_OUT_GUILD	Battez tous les ennemis pour gagner
GUILD_WITHDRAW	Retrait
GUILD_YOU_DO_NOT_JOIN	Vous n'êtes membre d'aucune guilde.
HACK_USER_MESSAGE	Cette fonction n'est pas disponible, car un programme de hacking a été trouvé.
HORSE_HEALTH0	Mort
HORSE_HEALTH1	Affamé.
HORSE_HEALTH2	A faim
HORSE_HEALTH3	Nourri
HORSE_LEVEL1	Cheval normal
HORSE_LEVEL2	Cheval de combat
HORSE_LEVEL3	Cheval militaire
HORSE_LEVEL4	Destrier fort
HOUR	h
HOW_MANY_ITEM_DO_YOU_DROP1	Souhaitez-vous abandonner %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Souhaitez-vous abandonner  %s %d?
ICECREAM_EVENT_EXCHANGE_SCOOP_SUCCESS	Vous avez transféré %d orbes de glace dans le nouveau menu d'évènement.
ICECREAM_EVENT_GET_SCOOP	Vous avez reçu un orbe de glace.
ICECREAM_EVENT_SCOOP_MAX_COUNT	Vous ne pouvez pas obtenir d'orbe de glace supplémentaire.
INPUT_MATRIX_CARD_NUMBER	Entrez votre numéro de carte Matrix
INPUT_MATRIX_CARD_TITLE	Matrix Card
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Entrer le code d'effacement (voir dans options de compte).
INPUT_PRIVATE_CODE_DIALOG_TITLE	Supprimer le personnage
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Role of Return cannot be combined.
INVENTORY_REALLY_USE_ITEM	Voulez-vous utiliser cet objet sur cet objet ?
INVENTORY_REALLY_USE_ITEM2	Souhaitez-vous vraiment utiliser cet objet ?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Souhaitez-vous vraiment mettre votre familier dans le sac de transport ?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Souhaitez-vous ouvrir un sac de transport ?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Souhaitez-vous donner en pâture %s à %s ?
IS_NOT_PET_CHANGE_ITEM	Ce n'est pas l'objet d'enchantement de familier.
IS_NOT_PET_ITEM	Ce n'est pas un familier.
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Aucun
JOB_ASSASSIN1	Ninja Assassin
JOB_ASSASSIN2	Ninja Archer
JOB_SHAMAN	Chamane
JOB_SHAMAN0	Aucun
JOB_SHAMAN1	Chamane Dragon
JOB_SHAMAN2	Chamane Soin
JOB_SURA	Sura
JOB_SURA0	Aucun
JOB_SURA1	Sura Arme magique
JOB_SURA2	Sura Magie noire
JOB_WARRIOR	Guerrier
JOB_WARRIOR0	Aucun
JOB_WARRIOR1	Guerrier Corps à Corps
JOB_WARRIOR2	Guerrier Mental
JOB_WOLFMAN	Lycan
JOB_WOLFMAN0	Lycan débutant
JOB_WOLFMAN1	Instinct
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Fermer sans sauvegarder ?
KEYCHANGE_IMPOSSIBLE_CHANGE	Ici, l'utilisation des touches [Ctrl], [Alt] et [Maj] n'est pas autorisée !
KEYCHANGE_SAVE_EXIT	Sauvegarder et fermer ?
KEY_0	à
KEY_0_LALT	Alt + à
KEY_0_LCONTROL	Ctrl + à
KEY_0_LSHIFT	Maj + à
KEY_1	&
KEY_1_LALT	Alt + &
KEY_1_LCONTROL	Ctrl + &
KEY_1_LSHIFT	Maj + &
KEY_2	é
KEY_2_LALT	Alt + é
KEY_2_LCONTROL	Ctrl + é
KEY_2_LSHIFT	Maj + é
KEY_3	"
KEY_3_LALT	Alt + "
KEY_3_LCONTROL	Ctrl + "
KEY_3_LSHIFT	Maj + "
KEY_4	'
KEY_4_LALT	Alt + '
KEY_4_LCONTROL	Ctrl + '
KEY_4_LSHIFT	Maj + '
KEY_5	(
KEY_5_LALT	Alt + (
KEY_5_LCONTROL	Ctrl + (
KEY_5_LSHIFT	Maj + (
KEY_6	-
KEY_6_LALT	Alt + -
KEY_6_LCONTROL	Ctrl + -
KEY_6_LSHIFT	Maj + -
KEY_7	è
KEY_7_LALT	Alt + è
KEY_7_LCONTROL	Ctrl + è
KEY_7_LSHIFT	Maj + è
KEY_8	_
KEY_8_LALT	Alt + _
KEY_8_LCONTROL	Ctrl + _
KEY_8_LSHIFT	Maj + _
KEY_9	ç
KEY_9_LALT	Alt + ç
KEY_9_LCONTROL	Ctrl + ç
KEY_9_LSHIFT	Maj + ç
KEY_A	Q
KEY_ADD	$
KEY_A_LALT	Alt + Q
KEY_A_LCONTROL	Ctrl + Q
KEY_A_LSHIFT	Maj + Q
KEY_B	B
KEY_B_LALT	Alt + B
KEY_B_LCONTROL	Ctrl + B
KEY_B_LSHIFT	Maj + B
KEY_C	C
KEY_COMMA	;
KEY_COMMA_LALT	Alt + ;
KEY_COMMA_LCONTROL	Ctrl + ;
KEY_COMMA_LSHIFT	Maj + ;
KEY_C_LALT	Alt + C
KEY_C_LCONTROL	Ctrl + C
KEY_C_LSHIFT	Maj + C
KEY_D	D
KEY_DOWN	Flèche bas
KEY_D_LALT	Alt + D
KEY_D_LCONTROL	Ctrl + D
KEY_D_LSHIFT	Maj + D
KEY_E	E
KEY_E_LALT	Alt + E
KEY_E_LCONTROL	Ctrl + E
KEY_E_LSHIFT	Maj + E
KEY_F	F
KEY_F1	F1
KEY_F1_LALT	Alt + F1
KEY_F1_LCONTROL	Ctrl + F1
KEY_F1_LSHIFT	Maj + F1
KEY_F2	F2
KEY_F2_LALT	Alt + F2
KEY_F2_LCONTROL	Ctrl + F2
KEY_F2_LSHIFT	Maj + F2
KEY_F3	F3
KEY_F3_LALT	Alt + F3
KEY_F3_LCONTROL	Ctrl + F3
KEY_F3_LSHIFT	Maj + F3
KEY_F4	F4
KEY_F4_LALT	Alt + F4
KEY_F4_LCONTROL	Ctrl + F4
KEY_F4_LSHIFT	Maj + F4
KEY_F5	F5
KEY_F5_LALT	Alt + F5
KEY_F5_LCONTROL	Ctrl + F5
KEY_F5_LSHIFT	Maj + F5
KEY_F6	F6
KEY_F6_LALT	Alt + F6
KEY_F6_LCONTROL	Ctrl + F6
KEY_F6_LSHIFT	Maj + F6
KEY_F7	F7
KEY_F7_LALT	Alt + F7
KEY_F7_LCONTROL	Ctrl + F7
KEY_F7_LSHIFT	Maj + F7
KEY_F8	F8
KEY_F8_LALT	Alt + F8
KEY_F8_LCONTROL	Ctrl + F8
KEY_F8_LSHIFT	Maj + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	Ctrl + F9
KEY_F9_LSHIFT	Maj + F9
KEY_F10	F10
KEY_F10_LALT	Alt + F10
KEY_F10_LCONTROL	Ctrl + F10
KEY_F10_LSHIFT	Maj + F10
KEY_F_LALT	Alt + F
KEY_F_LCONTROL	Ctrl + F
KEY_F_LSHIFT	Maj + F
KEY_G	G
KEY_GRAVE	²
KEY_GRAVE_LALT	Alt + ²
KEY_GRAVE_LCONTROL	Ctrl + ²
KEY_GRAVE_LSHIFT	Maj + ²
KEY_G_LALT	Alt + G
KEY_G_LCONTROL	Ctrl + G
KEY_G_LSHIFT	Maj + G
KEY_H	H
KEY_H_LALT	Alt + H
KEY_H_LCONTROL	Ctrl + H
KEY_H_LSHIFT	Maj + H
KEY_I	I
KEY_I_LALT	Alt + I
KEY_I_LCONTROL	Ctrl + I
KEY_I_LSHIFT	Maj + I
KEY_J	J
KEY_J_LALT	Alt + J
KEY_J_LCONTROL	Ctrl + J
KEY_J_LSHIFT	Maj + J
KEY_K	K
KEY_K_LALT	Alt + K
KEY_K_LCONTROL	Ctrl + K
KEY_K_LSHIFT	Maj + K
KEY_L	L
KEY_LALT	Alt
KEY_LCONTROL	Ctrl
KEY_LEFT	Flèche gauche
KEY_LSHIFT	Maj
KEY_L_LALT	Alt + L
KEY_L_LCONTROL	Ctrl + L
KEY_L_LSHIFT	Maj + L
KEY_M	?
KEY_M_LALT	Alt + ?
KEY_M_LCONTROL	Ctrl + ?
KEY_M_LSHIFT	Maj + ?
KEY_N	N
KEY_NUMLOCK	Verr
KEY_NUMPAD0	Verr 0
KEY_NUMPAD1	Verr 1
KEY_NUMPAD2	Verr 2
KEY_NUMPAD3	Verr 3
KEY_NUMPAD4	Verr 4
KEY_NUMPAD5	Verr 5
KEY_NUMPAD6	Verr 6
KEY_NUMPAD7	Verr 7
KEY_NUMPAD8	Verr 8
KEY_NUMPAD9	Verr 9
KEY_N_LALT	Alt + N
KEY_N_LCONTROL	Ctrl + N
KEY_N_LSHIFT	Maj + N
KEY_O	O
KEY_O_LALT	Alt + O
KEY_O_LCONTROL	Ctrl + O
KEY_O_LSHIFT	Maj + O
KEY_P	P
KEY_PERIOD	:
KEY_PERIOD_LALT	Alt + :
KEY_PERIOD_LCONTROL	Ctrl + :
KEY_PERIOD_LSHIFT	Maj + :
KEY_PGDN	Pge Suiv.
KEY_PGUP	Pge Préc.
KEY_P_LALT	Alt + P
KEY_P_LCONTROL	Ctrl + P
KEY_P_LSHIFT	Maj + P
KEY_Q	A
KEY_Q_LALT	Alt + A
KEY_Q_LCONTROL	Ctrl + A
KEY_Q_LSHIFT	Maj + A
KEY_R	R
KEY_RIGHT	Flèche droite
KEY_R_LALT	Alt + R
KEY_R_LCONTROL	Ctrl + R
KEY_R_LSHIFT	Maj + R
KEY_S	S
KEY_SPACE	Espace
KEY_SUBTRACT	!
KEY_SYSRQ	Impr. Écran
KEY_S_LALT	Alt + S
KEY_S_LCONTROL	Ctrl + S
KEY_S_LSHIFT	Maj + S
KEY_T	T
KEY_TAB	Tab
KEY_T_LALT	Alt + T
KEY_T_LCONTROL	Ctrl + T
KEY_T_LSHIFT	Maj + T
KEY_U	U
KEY_UP	Flèche haut
KEY_U_LALT	Alt + U
KEY_U_LCONTROL	Ctrl + U
KEY_U_LSHIFT	Maj + U
KEY_V	V
KEY_V_LALT	Alt + V
KEY_V_LCONTROL	Ctrl + V
KEY_V_LSHIFT	Maj + V
KEY_W	Z
KEY_W_LALT	Alt + Z
KEY_W_LCONTROL	Ctrl + Z
KEY_W_LSHIFT	Maj + Z
KEY_X	X
KEY_X_LALT	Alt + X
KEY_X_LCONTROL	Ctrl + X
KEY_X_LSHIFT	Maj + X
KEY_Y	Y
KEY_Y_LALT	Alt + Y
KEY_Y_LCONTROL	Ctrl + Y
KEY_Y_LSHIFT	Maj + Y
KEY_Z	Z
KEY_Z_LALT	Alt + W
KEY_Z_LCONTROL	Ctrl + W
KEY_Z_LSHIFT	Maj + W
LEADER_NAME	Nom du chef
LEFT_TIME	Temps restant
LIMIT_LEVEL_GUILD	Niveau de guilde : %d
LOGIN_CONNECT_FAILURE	Erreur lors de la connection au serveur
LOGIN_CONNECT_SUCCESS	Connexion au serveur en cours.
LOGIN_CONNETING	Patientez SVP. Connexion au serveur en cours.
LOGIN_FAILURE_ALREAY	Votre compte est déjà connecté.
LOGIN_FAILURE_BACKEND_ERR	Une erreur s'est produite. Adressez-vous à l'assistance.
LOGIN_FAILURE_BE_SAME_KEY	Problème
LOGIN_FAILURE_BLOCK_ID	Ce compte est bloqué.
LOGIN_FAILURE_BLOCK_LOGIN	Serveur fermé : Veuillez choisir un autre serveur !
LOGIN_FAILURE_COUNTRY_ERR	Le code pays est incorrect.\nAdressez-vous à l'assistance.
LOGIN_FAILURE_INTEGRTING	Ce compte est en cours de fusion. Merci de réessayer plus tard.
LOGIN_FAILURE_IOVATION_ERR	Merci d'activer l'authentification à double facteur pour entrer sur ce serveur.
LOGIN_FAILURE_NOBILL	Ce compte ne dispose d'aucun temps de jeu.
LOGIN_FAILURE_NOT_AVAIL	Ce compte n'est pas disponible.
LOGIN_FAILURE_NOT_EXIST_ID	Compte ou mot de passe incorrect
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Une vérification par e-mail s'impose.
LOGIN_FAILURE_REPAIR_ID	Des objets sont restaurés sur ce compte.
LOGIN_FAILURE_SAMELOGIN	Quelqu'un s'est connecté à votre compte.
LOGIN_FAILURE_SERVER_GRADE	Ceci est un serveur exclusif auquel ce compte n'a malheureusement pas accès.
LOGIN_FAILURE_SHUTDOWN	Le serveur n'est pour le moment pas ouvert
LOGIN_FAILURE_STEAM_SESSION	Connexion des comptes transférés/inscription impossible.
LOGIN_FAILURE_TNT_SESSION	Le logiciel client ne parvient pas à s'ouvrir. Redémarrez le lanceur et connectez-vous à nouveau.
LOGIN_FAILURE_TOO_MANY_USER	Vous ne pouvez pas vous connecter car trop de joueurs sont actuellement en ligne.
LOGIN_FAILURE_UNKNOWN	Vous ne pouvez pas vous enregistrer vous des raisons inconnues.
LOGIN_FAILURE_WEB_BLOCK	Vous avez été bloqué sur ce site. Veuillez consulter vos mails.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Vous avez entré un mauvais numéro.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Vous avez entré un mauvais numéro trois fois. La connexion va être perdue.
LOGIN_FAILURE_WRONG_PASSWORD	Compte ou mot de passe incorrect
LOGIN_INPUT_ID	Entrez le nom du compte
LOGIN_INPUT_PASSWORD	Entrez le mot de passe
LOGIN_PROCESSING	Connexion au compte en cours
LOOTING_SYSTEM_CANNOT_OPEN_MAP	La carte ne peut être ouverte ici.
