ACCE_ABSORB_COST	Kombinálás ára: %d
DETAILS_33	Tûz ereje
DETAILS_34	Szél ereje
DETAILS_35	Föld ereje
DETAILS_36	Harcosok elleni erõ
DETAILS_37	Nindzsák elleni erõ
DETAILS_38	Surák elleni erõ
DETAILS_39	Sámánok elleni erõ
DETAILS_40	Vérfarkasok ell. erõ
DETAILS_41	Harcos védelem
DETAILS_42	Nindzsa védelem
DETAILS_43	Sura védelem
DETAILS_44	Sámán védelem
DETAILS_45	Vérfarkas védelem
DETAILS_46	Kard védelem
DETAILS_47	Kétkezes védelem
DETAILS_48	Tõr védelem
DETAILS_49	Karom védelem
DETAILS_50	Harang védelem
DETAILS_51	Legyezõ védelem
DETAILS_52	Nyíl védelem
DETAILS_53	Ájulási esély
DETAILS_54	Lassítás esélye
DETAILS_55	Mérgezés esélye
DETAILS_56	Méreg ellenállás
DETAILS_57	Vérzõ támadás
DETAILS_58	Vérzõ t. ellenállás
DETAILS_59	TP lopás
DETAILS_60	MP lopás
DETAILS_61	TP helyreállítás
DETAILS_62	MP helyreállítás
DETAILS_63	Támadás kivédése
DETAILS_64	Nyilak elkerülése
DETAILS_65	Fiz. tám. visszav.
DETAILS_66	TP helyreá. öléskor
DETAILS_67	MP helyreá. öléskor
DETAILS_68	Dupla EXP
DETAILS_69	Dupla Yang
DETAILS_70	Dobási esély
DETAILS_71	Támadóérték
DETAILS_72	Védelmi érték
DETAILS_73	EXP
DETAILS_74	Dobási esély
DETAILS_75	Dupla Yang
DETAILS_76	Mágia ellenállás
DETAILS_77	Ellenmágia
DETAILS_78	Szörny ellenállás
DETAILS_79	Mágikus tám. bónusz
DETAILS_ATTBONUS_BELL	Harang v. áttörés
DETAILS_ATTBONUS_BOW	Nyíl v. áttörés
DETAILS_ATTBONUS_CLAW	Karom v. áttörés
DETAILS_ATTBONUS_DAGGER	Tõr v. áttörés
DETAILS_ATTBONUS_FAN	Legyezõ v. áttörés
DETAILS_ATTBONUS_SWORD	Kard v. áttörés
DETAILS_ATTBONUS_TWOHAND	Kétkezes v. áttörés
DETAILS_CATE_1	Sebzés/Védelem
DETAILS_CATE_2	Elementáris bónusz
DETAILS_CATE_3	Karakterosztály bónusz
DETAILS_CATE_4	Fegyver bónusz
DETAILS_CATE_5	Egyéb bónusz
DETAILS_CATE_6	Különleges bónusz
DETAILS_HIT_PCT	Pontosság
DETAILS_RESIST_MOUNT_FALL	Esés ellenállás
DETAILS_TITLE	Részletek
DETAILS_TOOLTIP_0	Metinkövek elleni erõ: Nagyobb sebzést okozol a Metinköveknek.
DETAILS_TOOLTIP_1	Nagyobb sebzést okozol a félember típusú ellenfeleknek.
DETAILS_TOOLTIP_2	Félemberek elleni védelem: Csökkenti a félember típusú ellenfelek által okozott sebzést.
DETAILS_TOOLTIP_3	Orkok elleni erõ: Nagyobb sebzést okozol az orkoknak.
DETAILS_TOOLTIP_4	Élõholtak elleni erõ: Nagyobb sebzést okozol az élõholtaknak.
DETAILS_TOOLTIP_5	Nagyobb sebzést okozol a szörnyeknek.
DETAILS_TOOLTIP_6	Zodiákus szörnyek elleni erõ: Nagyobb sebzést okozol a Zodiákus szörnyeknek.
DETAILS_TOOLTIP_7	Nagyobb sebzést okozol a vadállatoknak.
DETAILS_TOOLTIP_8	Ezoterikusok elleni erõ: Nagyobb sebzést okozol az ezoterikusoknak.
DETAILS_TOOLTIP_9	Nagyobb sebzést okozol az ördögöknek.
DETAILS_TOOLTIP_10	Sivatagi szörnyek elleni erõ: Nagyobb sebzést okozol a sivatagi szörnyeknek.
DETAILS_TOOLTIP_11	Rovarok elleni erõ: Nagyobb sebzést okozol a rovaroknak.
DETAILS_TOOLTIP_12	Megnöveli támadóértéked.
DETAILS_TOOLTIP_13	Megnöveli védelmi értéked.
DETAILS_TOOLTIP_14	Növeli az átlagos károkat, amit az ellenségeidnek okozol támadáskor.
DETAILS_TOOLTIP_15	Csökkenti a támadásban elszenvedett sebzéseidet.
DETAILS_TOOLTIP_16	Megnöveli a készségek által okozott sebzést.
DETAILS_TOOLTIP_17	Csökkenti a készségek által elszenvedett sebzéseidet.
DETAILS_TOOLTIP_18	Növeli a fizikai és mágikus támadó értékedet is.
DETAILS_TOOLTIP_19	Növeli a mágikus támadásokkal okozott sebzésed.
DETAILS_TOOLTIP_20	Növeli a kritikus találat bevitelének esélyét.
DETAILS_TOOLTIP_21	Növeli az átható találat bevitelének esélyét.
DETAILS_TOOLTIP_22	Kritikus találat ellenállás: Csökkenti a kritikus találatokból származó sebzést.
DETAILS_TOOLTIP_23	Átható találat ellenállás: Csökkenti az átható találatokból származó sebzést.
DETAILS_TOOLTIP_24	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_25	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_26	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_27	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_28	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_29	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_30	Növeli a sebzést, amit a villám erejével okozol.
DETAILS_TOOLTIP_31	Növeli a sebzést, amit a jég erejével okozol.
DETAILS_TOOLTIP_32	Növeli a sebzést, amit a sötétség erejével okozol.
DETAILS_TOOLTIP_33	Növeli a sebzést, amit a tûz erejével okozol.
DETAILS_TOOLTIP_34	Növeli a sebzést, amit a szél erejével okozol.
DETAILS_TOOLTIP_35	Növeli a sebzést, amit a föld erejével okozol.
DETAILS_TOOLTIP_36	Harcosok elleni erõ: Nagyobb sebzést okozol a harcosoknak.
DETAILS_TOOLTIP_37	Nindzsák elleni erõ: Nagyobb sebzést okozol a nindzsáknak.
DETAILS_TOOLTIP_38	Surák elleni erõ: Nagyobb sebzést okozol a suráknak.
DETAILS_TOOLTIP_39	Sámánok elleni erõ: Nagyobb sebzést okozol a sámánoknak.
DETAILS_TOOLTIP_40	Vérfarkasok elleni erõ: Nagyobb sebzést okozol a vérfarkasoknak.
DETAILS_TOOLTIP_41	Védekezési esély harcos támadás ellen: Csökkenti a harcosok által neked okozott sebzést.
DETAILS_TOOLTIP_42	Védekezési esély nindzsa támadás ellen: Csökkenti a nindzsák által neked okozott sebzést.
DETAILS_TOOLTIP_43	Védekezési esély sura támadás ellen: Csökkenti a surák által neked okozott sebzést.
DETAILS_TOOLTIP_44	Védekezési esély sámán támadás ellen: Csökkenti a sámánok által neked okozott sebzést.
DETAILS_TOOLTIP_45	Védekezési esély vérfarkas támadás ellen: Csökkenti a vérfarkasok által neked okozott sebzést.
DETAILS_TOOLTIP_46	Csökkenti a kardok által okozott sérüléseket.
DETAILS_TOOLTIP_47	Csökkenti a kétkezes fegyverek által okozott sérüléseket.
DETAILS_TOOLTIP_48	Csökkenti a tõrök által okozott sérüléseket.
DETAILS_TOOLTIP_49	Csökkenti a karmok által okozott sérüléseket.
DETAILS_TOOLTIP_50	Csökkenti a harangok által okozott sérüléseket.
DETAILS_TOOLTIP_51	Csökkenti a legyezõk által okozott sérüléseket.
DETAILS_TOOLTIP_52	Csökkenti az íjak és nyilak által okozott sérüléseket.
DETAILS_TOOLTIP_53	Növeli az esélyt az ellenfelek kiütésére.
DETAILS_TOOLTIP_54	Növeli az esélyt az ellenfél lelassítására.
DETAILS_TOOLTIP_55	Növeli az esélyt az ellenfél megmérgezésére.
DETAILS_TOOLTIP_56	Csökkenti a méreg által okozott sebzést.
DETAILS_TOOLTIP_57	Növeli az esélyt vérzõ támadás bevitelére.
DETAILS_TOOLTIP_58	Vérzõ támadás ellenállás: Csökkenti a vérzõ támadás által okozott sebzést.
DETAILS_TOOLTIP_59	Elszívja az ellenfeled TP-jét, amikor eltalálod.
DETAILS_TOOLTIP_60	Elszívja az ellenfeled MP-jét, amikor eltalálod.
DETAILS_TOOLTIP_61	Növeli az életerõ pontjaid helyreállítását.
DETAILS_TOOLTIP_62	Növeli a mana pontjaid helyreállítását.
DETAILS_TOOLTIP_63	Esély közelharci támadás kivédésre: Növeli az esélyt közelharci támadás kivédésére.
DETAILS_TOOLTIP_64	Növeli az esélyt nyilak és szörnyek általi távolsági támadások elkerülésére.
DETAILS_TOOLTIP_65	Esély közelharci találatok visszaverésére: Az ellenfél közelharci támadásainak egy része visszaverõdik rá.
DETAILS_TOOLTIP_66	Az életerõ pontjaid növekednek, amikor megölsz egy ellenséget.
DETAILS_TOOLTIP_67	A mana pontjaid növekednek, amikor megölsz egy ellenséget.
DETAILS_TOOLTIP_68	Esély dupla tapasztalati pont szerzésére: Növeli az EXP bónusz esélyét, amikor legyõzöl egy ellenfelet.
DETAILS_TOOLTIP_69	Esély dupla mennyiségû Yang eldobására: Növeli az esélyét, hogy kétszer annyi Yangot kapj.
DETAILS_TOOLTIP_70	Esély tárgy dobásra: Növeli az esélyét, hogy kétszer annyi tárgyat zsákmányolj.
DETAILS_TOOLTIP_71	Megnöveli támadóértéked.
DETAILS_TOOLTIP_72	Megnöveli védelmi értéked.
DETAILS_TOOLTIP_73	Megnöveli a tapasztalat gyûjtését.
DETAILS_TOOLTIP_74	Tárgydobási esély: Növeli a tárgyak zsákmányolásának esélyét.
DETAILS_TOOLTIP_75	Yang eldobási esély: Növeli az esélyét, hogy több Yangot zsákmányolj.
DETAILS_TOOLTIP_76	Csökkenti a mágikus támadásoktól elszenvedett sebzést.
DETAILS_TOOLTIP_77	Csökkenti az ellenfeled mágia ellenállását.
DETAILS_TOOLTIP_78	Csökkenti a szörnyektõl kapott sebzést.
DETAILS_TOOLTIP_79	Növeli a mágikus támadóértéket.
DETAILS_TOOLTIP_ATTBONUS_BELL	Harang védelem áttörés: Csökkenti ellenfeled harang védelmét.
DETAILS_TOOLTIP_ATTBONUS_BOW	Nyíl védelem áttörés: Csökkenti ellenfeled nyíl védelmét.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Karom védelem áttörés: Csökkenti ellenfeled karom védelmét.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Tõr védelem áttörés: Csökkenti ellenfeled tõr védelmét.
DETAILS_TOOLTIP_ATTBONUS_FAN	Legyezõ védelem áttörés: Csökkenti ellenfeled legyezõ védelmét.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Kard védelem áttörés: Csökkenti ellenfeled kard védelmét.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Kétkezes védelem áttörés: Csökkenti ellenfeled kétkezes védelmét.
DETAILS_TOOLTIP_HIT_PCT	Növeli az esélyt az ellenség eltalálására
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Esés ellenállás: Csökkenti az esélyét, hogy leess a hátasodról.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Nem mozgathatsz tárgyakat, amikor egy kérelem folyamatban van.
DO_NOT_INSERT_UPBRINGING_PET	Az elõhívott házikedvenc nem választható ki.
DO_YOU_BUY_ITEM1	Szeretnél %s-t vásárolni %s Yangért?
DO_YOU_BUY_ITEM2	Szeretnél %s-t (%s darabot) vásárolni %s Yangért?
DO_YOU_BUY_ITEM3	Szeretnél vásárolni %s-t %s Wonért és %s Yangért?
DO_YOU_BUY_ITEM4	Szeretnél vásárolni %s-t (%s darabot) %s Wonért és %s Yangért?
DO_YOU_DROP_MONEY	Szeretnél %d Yangot eldobni?
DO_YOU_SELL_ITEM1	Szeretnél %s-t %s Yangért eladni?
DO_YOU_SELL_ITEM2	Szeretnél %s-t (%s darabot) %s Yangért eladni?
DRAGON_GATE_AUTO_REINFORCE_QUESTION	
DRAGON_GATE_CLEAR	
DRAGON_GATE_CLEAR_NOT_ENOUGH_MAX_REINFORCE	
DRAGON_GATE_CLEAR_QUESTION	
DRAGON_GATE_CLEAR_SELECT	
DRAGON_GATE_CLEAR_TOOLTIP	
DRAGON_GATE_DEFENSE	
DRAGON_GATE_ENCHANT_DARK	
DRAGON_GATE_ENCHANT_EARTH	
DRAGON_GATE_ENCHANT_ELECTRIC	
DRAGON_GATE_ENCHANT_FIRE	
DRAGON_GATE_ENCHANT_ICE	
DRAGON_GATE_ENCHANT_WIND	
DRAGON_GATE_EXPERIENCE	
DRAGON_GATE_HEALTH	
DRAGON_GATE_ITEM_CLEAR	
DRAGON_GATE_ITEM_CLEAR_QUESTION	
DRAGON_GATE_MARK	
DRAGON_GATE_MASTER_STEP_CHECK	
DRAGON_GATE_MY_POINT_TOOLTIP	
DRAGON_GATE_NEED_POINT_TOOLTIP	
DRAGON_GATE_PAEWANG	
DRAGON_GATE_POINT_CLEAR	
DRAGON_GATE_POINT_CLEAR_NOT_ENOUGH_POINT	
DRAGON_GATE_POINT_CLEAR_QUESTION	
DRAGON_GATE_POWER	
DRAGON_GATE_REINFORCE_APPLY_DEFAULT_TOOLTIP	
DRAGON_GATE_REINFORCE_BONUS	
DRAGON_GATE_REINFORCE_BONUS_APPLY	
DRAGON_GATE_REINFORCE_COUNT_TOOLTIP	
DRAGON_GATE_REINFORCE_MAX	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY2	
DRAGON_GATE_REINFORCE_NOT_ENOUGH_POINT	
DRAGON_GATE_REINFORCE_QUESTION	
DRAGON_GATE_REINFORCE_RESULT	
DRAGON_GATE_REINFORCE_TOOLTIP	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE1	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE2	
DRAGON_GATE_REINFORCE_TOOLTIP_TITLE	
DRAGON_GATE_RESIST_DARK	
DRAGON_GATE_RESIST_EARTH	
DRAGON_GATE_RESIST_ELECTRIC	
DRAGON_GATE_RESIST_FIRE	
DRAGON_GATE_RESIST_ICE	
DRAGON_GATE_RESIST_WIND	
DRAGON_GATE_STEP_CLEAR_INITIALIZE_FIRST	
DRAGON_GATE_STEP_CLEAR_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_QUESTION_2	
DRAGON_GATE_STEP_CLEAR_TOOLTIP	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_NOT_ENOUGH_POINT	
DRAGON_GATE_STEP_UPGRADE_QUESTION_1	
DRAGON_GATE_STEP_UPGRADE_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_TOOLTIP	
DRAGON_GATE_SUNGMA_HP	
DRAGON_GATE_SUNGMA_IMMUNE	
DRAGON_GATE_SUNGMA_MOVE	
DRAGON_GATE_SUNGMA_STR	
DRAGON_GATE_TOOLTIP_LINE1	
DRAGON_GATE_TOOLTIP_LINE2	
DRAGON_GATE_TOOLTIP_LINE3	
DRAGON_GATE_TOOLTIP_LINE4	
DRAGON_GATE_TOOLTIP_LINE5	
DRAGON_GATE_TOOLTIP_LINE6	
DRAGON_GATE_TOOLTIP_LINE7	
DRAGON_GATE_TOOLTIP_LINE8	
DRAGON_GATE_TOOLTIP_LINE9	
DRAGON_GATE_TOOLTIP_LINE10	
DRAGON_GATE_TOOLTIP_LINE11	
DRAGON_GATE_TOOLTIP_NOT_ENOUGH_REINFORCE	
DRAGON_GATE_TOOLTIP_TITLE	
DRAGON_GATE_TUGWI	
DRAGON_SOUL_CANNOT_REFINE	Ezt a Sárkánykövet nem lehet finomítani.
DRAGON_SOUL_CANNOT_REFINE_MORE	Ez a Sárkánykõ már elérte a legmagasabb szintet.
DRAGON_SOUL_EQUIP_WARNING1	Nehéz eltávolítani a Sárkánykövet, ha már egyszer csatolva lett.
DRAGON_SOUL_EQUIP_WARNING2	Még mindig folytatni szeretnéd?
DRAGON_SOUL_EXPIRED	Lejárt Sárkánykõ
DRAGON_SOUL_INVALID_DRAGON_SOUL	Itt a rossz Sárkánykõ.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Ez nem Sárkánykõ.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Ez nem a megfelelõ Sárkánykõ.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Nincs elegendõ anyagod a nemesítéshez.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	A %s\nigényel: %s %dx
DRAGON_SOUL_NOT_ENOUGH_MONEY	Nincs elég Yangod a bónusz megváltoztatásához.
DRAGON_SOUL_NOT_MATCHED_SLOT	A Sárkánykõ nem illik ebbe a foglalatba.
DRAGON_SOUL_STEP_LEVEL1	Tisztaság: matt,
DRAGON_SOUL_STEP_LEVEL2	Tisztaság: tiszta,
DRAGON_SOUL_STEP_LEVEL3	Tisztaság: hibátlan,
DRAGON_SOUL_STEP_LEVEL4	Tisztaság: ragyogó,
DRAGON_SOUL_STEP_LEVEL5	Tisztaság: kiváló,
DRAGON_SOUL_STRENGTH	Szint: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	A Sárkánykõ megsemmisülhet az eljárás során.
DRAGON_SOUL_UNEQUIP_WARNING2	Még mindig folytatni szeretnéd?
DRAGON_SOUL_UNMATCHED_SLOT	Az rossz foglalat.
DRAGON_SOUL_UNQUALIFIED	Még nem használhatsz Sárkánykõ-alkímiát.
DROP_ITEM_FAILURE_EQUIP_ITEM	Nem dobhatsz el egy felszerelt tárgyat.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nem dobhatsz el tárgyat, amíg a magán boltot nyitva van.
DROP_MONEY_FAILURE_1000_OVER	Maximum 999 Yangot dobhatsz el.
DS_SYSTEM_MSG_1	Szükséged van erre: %s (%d darab).
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	Kérlek, zárj be minden más ablakot a Villám aukciók megnyitásához.
ELEMENT_BUFF_DARK_TOOLTIP	További sebzést érhetsz el a Sötétség erõvirág hatásával.
ELEMENT_BUFF_EARTH_TOOLTIP	További sebzést érhetsz el a Föld erõvirág hatásával.
ELEMENT_BUFF_ELECT_TOOLTIP	További sebzést érhetsz el a Villám erõvirág hatásával.
ELEMENT_BUFF_FIRE_TOOLTIP	További sebzést érhetsz el a Tûz erõvirág hatásával.
ELEMENT_BUFF_ICE_TOOLTIP	További sebzést érhetsz el a Jég erõvirág hatásával.
ELEMENT_BUFF_NONE_TOOLTIP	További sebzést érhetsz el a Közönséges erõvirág hatásával.
ELEMENT_BUFF_WIND_TOOLTIP	További sebzést érhetsz el a Szél erõvirág hatásával.
EMOTION_ALCOHOL	Egészségedre!
EMOTION_ANGRY	Mérges
EMOTION_ATTRACTIVE	Csábítás
EMOTION_BANTER	Gúnyos
EMOTION_BUSY	Stressz
EMOTION_CALL	Hívás
EMOTION_CELEBRATION	Parti
EMOTION_CHARGING	Töltés
EMOTION_CHEERS_1	Ünnepel 1
EMOTION_CHEERS_2	Ünnepel 2
EMOTION_CHEERUP	Ünnepel
EMOTION_CHOOSE_ONE	Válassz célt
EMOTION_CLAP	Taps
EMOTION_CLAP_KISS	Csók
EMOTION_CONGRATULATION	Gratuláció
EMOTION_DANCE_1	Tánc 1
EMOTION_DANCE_2	Tánc 2
EMOTION_DANCE_3	Tánc 3
EMOTION_DANCE_4	Tánc 4
EMOTION_DANCE_5	Tánc 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Szamba
EMOTION_DOZE	Elbóbiskol
EMOTION_EXERCISE	Bemelegítés
EMOTION_FORGIVE	Megbocsátás
EMOTION_FRENCH_KISS	Nyelves csók
EMOTION_HUNGRY	Éhes
EMOTION_JOY	Öröm
EMOTION_LETTER	Szerelmes levél
EMOTION_NOSAY	Szóhoz sem jut
EMOTION_PUSH_UP	Fekvõtámasz
EMOTION_SAD	Szomorú
EMOTION_SELFIE	Szelfi
EMOTION_SHY	Elutasítás
EMOTION_SIREN	Sziréna
EMOTION_SLAP	Ütés
EMOTION_SMH	Sung Mahi tornya
EMOTION_WEATHER_1	Napsugár
EMOTION_WEATHER_2	Szivárvány
EMOTION_WEATHER_3	Hold
EMOTION_WHIRL	Zavarodott
EMPIRE_A	Shinsoo birodalom
EMPIRE_B	Chunjo birodalom
EMPIRE_C	Jinno birodalom
EMPIRE_SELECT_MODE	Birodalom-választás
EQUIPMENT_ADDITIONAL_PAGE_ACTIVE	A további felszerelés oldal aktiválásra került. Megtalálod a felszerelés ablakban.
EQUIPMENT_ALREADY_USE_ITEM	Nem használható ismét.
EQUIPMENT_CANNOT_ADDITIONAL_EQUIPMENT_PAGE	Nem cserélhetsz felszerelés oldalt, miközben valami mást csinálsz.
EQUIPMENT_CANNOT_ADDITIONAL_EQUIPMENT_PAGE_ITEM	Nem cserélheted meg a felszerelés oldalt, amíg egy nem megengedett tárgy fel van szerelve.
EQUIPMENT_CHANGE_PAGE_COOLTIME_FAIL	Kérjük, próbáld újra 1 perc múlva.
EQUIPMENT_CHANGE_PAGE_SUCCESS	A felszerelés oldal cserélõdött.
EQUIPMENT_TITLE_NAME	Felszerelés ablak
EXCHANGE_CANNOT_GIVE	Ezzel a tárggyal nem lehet kereskedni.
EXCHANGE_CANT_EDIT_MONEY	Most nem változtathatod meg az összeget.
EXCHANGE_FAILURE_EQUIP_ITEM	Felszerelt tárgyakat nem cserélhetsz el.
EXCHANGE_MONEY	Összeg
EXCHANGE_TITLE	Kereskedés vele: %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Még mindig szükséges %d Leltár bõvítõ.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Leltárad elérte a bõvítések maximális számát.
EXINVEN_USE_ITEM_QUESTION	Akarod bõvíteni a leltárad a %d Leltár bõvítés használatával?
FISHING_FAILURE	Elveszítetted a csalit.
FISHING_NOTIFY1	Úgy tûnik a %s ráharapott.
FISHING_NOTIFY2	Úgy tûnik, megfogtál egy %s-t.
FISHING_RENEWAL_CANNOT_EMOTION	Nem tudsz érzelmeket kifejezni horgászat közben.
FISHING_RENEWAL_CANNOT_OPEN_1	Nem nyithatod ki horgászat közben.
FISHING_RENEWAL_CANNOT_OPEN_2	Ezt nem tudod megtenni, miközben horgászol.
FISHING_RENEWAL_QUESTION	Kapásod van. Szeretnéd kifogni?
FISHING_RENEWAL_TIMEOUT	Túl sokáig vártál. A hal elúszott.
FISHING_SUCCESS1	%s-t fogtál!
FISHING_SUCCESS2	%s-t húztál ki a vízbõl!
FISHING_UNKNOWN	Valami elvette a csalit, de nem tudom, mi ez.
FISHING_WRONG_PLACE	Itt nem tudsz horgászni.
FLOWER_EVENT_GET_SHOOT_CHRYSANTHEMUM	Krizantém hajtásokat kaptál.
FLOWER_EVENT_GET_SHOOT_DAFFODIL	Nárcisz hajtásokat kaptál.
FLOWER_EVENT_GET_SHOOT_ENVELOPE	Virágmagokat kaptál.
FLOWER_EVENT_GET_SHOOT_LILY	Liliom hajtásokat kaptál.
FLOWER_EVENT_GET_SHOOT_MAY_BELL	Gyöngyvirág hajtásokat kaptál.
FLOWER_EVENT_GET_SHOOT_SUNFLOWER	Napraforgó hajtásokat kaptál.
FLOWER_EVENT_ITEM_FULL_AND_NOT_USE	Nem használhatod ezt a tárgyat, mert már a maximális mennyiségû hajtás van nálad.
FLOWER_EVENT_NOT_ENOUGH_EVENTORY_SPACE	Nincs elég helyed a leltáradban.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_COUNT	Nincs nálad elég hajtás.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_ENVELOPE	Nincs nálad elég virágmag.
FLOWER_EVENT_USE_ITEM_TEXT1	Szeretnéd lecserélni az aktív hatást?
FLOWER_EVENT_USE_ITEM_TEXT2	A próbálkozás lehet sikertelen, és ekkor a virág elhervad.
FOR_FEMALE	Hölgyeknek
FOR_MALE	Uraknak
FRAGMENT_COMB_COST	Kombinálás ára: %s
GAME_CANNOT_MINING	Nem tudsz érceket bányászni, amíg lovagolsz.
GAME_CANNOT_PICK_ITEM	Nem gyûjtheted be a tárgyat, mert nem te zsákmányoltad.
GAME_GUILDWAR_NOW_JOIN	Csatlakozni akarsz a céhháborúhoz?
GAME_INIT_ERROR_CURSOR	Az egér kurzor nem hozható létre.
GAME_INIT_ERROR_DIRECTX	A játékhoz szükséges a DirectX 8.1 installálása.\nInstalláld a DirectX 8.1-at vagy újabb verzióját.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Nem talált videokártyát a játék indításához.\nEllenõrizd, hogy jól van-e installálva a VGA-kártya.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafikus eszköz nem hozható létre. \nEllenõrizd, hogy van-e VGA kártyád. \nEsetleg aktiválhatod a hardver gyorsítót.\n(Állítsd a hardver gyorsítót a maximura \nRendszer eszközök->Képernyõ->Beállítások->Haladó->Hibaelhárítás)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	A video kártya nem támogatja az ablak kezelést 32bites üzemmódban.\nVálts 16bites üzemmódra vagy használd a teljes képernyõ módot.
GAME_INIT_ERROR_ITEM_PROTO	Nincsenek adatok a tárgyakról.\nInstalláld újra a játékot.
GAME_INIT_ERROR_MAIN_WINDOW	Nem nyitható meg a fõablak.
GAME_INIT_ERROR_MOB_PROTO	Nincsenek adatok a szörnyekrõl.\nInstalláld újra a játékot.
GAME_INIT_ERROR_NETWORK	A hálózati eszköz nem indítható.\nEllenõrizd az internet kapcsolatot.
GAME_PICK_MONEY	%d Yangot kaptál.
GEM_SYSTEM_ADD_SLOT	Szükséges tárgy: %s.\nSzeretnél felhasználni %d ilyet egy további hely feloldásához?
GEM_SYSTEM_BUY_ITEM	Szeretnéd megvásárolni ezt a tárgyat?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Nincs nálad elég Gaya piac frissítõ.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Nincs nálad elég Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Nem oldható fel több hely.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Elõbb nyisd meg a Gaya piacot.
GEM_SYSTEM_PICK_GEM	[Gaya] Gaya mennyisége: %d
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Szeretnéd frissíteni a piacot?
GIVEUP_QUESTION	Biztosan fel akarod adni?
GUILDBANK_CLEARBANK	Figyelem: A Céhraktárat ki kell üríteni!
GUILDBANK_DONT_MONEY_OUT	Nincs Yangod a céhbankban!
GUILDBANK_GOLD_IN	Betét
GUILDBANK_GOLD_OUT	Kivét
GUILDBANK_ITEM_IN	Tárol
GUILDBANK_ITEM_OUT	Eltávolít
GUILDBANK_MONEYIN	Yang betét
GUILDBANK_MONEYOUT	Yang kivét
GUILDBANK_NOTUSE	Nincs meg a szükséges jogosultságod.
GUILDBANK_NOT_ENOUGH_MONEY	Nincs elég Yangod a befizetéshez.
GUILDBANK_OVER_INCOME	Számlakorlát elérve.
GUILDBANK_OVER_MONEY	A céhszámla megtelt.
GUILDLAND_ABANDON	Céhterület elhagyása
GUILDLAND_ABANDON_TEXT1	Szeretnéd elhagyni a céhterületet?
GUILDLAND_ABANDON_TEXT2	Biztosan szeretnéd elhagyni a céhterületet?
GUILDLAND_ABANDON_TEXT3	A céhraktár és minden épület törlésre kerülnek.
GUILDLAND_ACCEPT	Igen
GUILDLAND_DONTHAVE_LAND	Nincs semmilyen céhterületed.
GUILDLAND_NOT	Nem
GUILDLIST_APPLICANT	Szeretnél jelentkezni?
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	A magasság nem 12 pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	A szélesség nem 16 pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	A szélesség nem 64 pixel
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	A magasság nem 128 pixel.
